Package Name,Description,Created,Modified,Versions Count,Version,Version Size (MB),Version Created,Version Modified,Download Count
secure-app,,2023-09-05T18:10:55.521Z,2023-09-05T18:09:33.908Z,1,,0.0,,,0
schwamster/nuget-docker,,2023-12-07T19:27:27.648Z,2023-12-07T19:26:19.403Z,1,,0.0,,,0
sample-npm-app,,2024-08-01T22:15:57.978Z,2024-08-02T02:43:45.218Z,9,,0.0,,,0
sample-java,,2023-02-24T06:10:52.491Z,2023-02-24T06:09:46.252Z,1,60820,2453.6,2023-02-24T06:10:52.491Z,2023-02-24T06:09:46.252Z,1
sample,,2024-08-28T08:18:27.55Z,2024-08-28T08:18:27.55Z,1,,0.0,,,0
sagemathinc/cocalc,,2023-11-13T12:10:38.575Z,2025-05-14T13:21:54.108Z,2,,0.0,,,0
safran,,2024-08-29T12:13:23.46Z,2024-08-29T12:13:23.46Z,1,,0.0,,,0
rubygem/compass,,2024-06-03T21:20:01.607Z,2024-06-03T21:18:25.155Z,1,,0.0,,,0
roybs-docker-local/node_exmp,,2021-01-05T13:57:50.378Z,2021-02-09T12:48:35.585Z,30,,0.0,,,0
rook/ceph,,2023-03-13T06:24:39.743Z,2023-03-13T06:23:25.081Z,1,,0.0,,,0
rlm-sec-alpine-python-marcelov1,,2025-01-08T17:57:52.934Z,2025-01-08T17:57:52.934Z,1,,0.0,,,0
rkt-demo,,2024-05-30T14:35:11.732Z,2024-05-30T14:35:11.732Z,1,,0.0,,,0
requests-report,,2024-04-15T20:10:38.021Z,2024-04-15T20:09:32.198Z,1,,0.0,,,0
releases-docker.jfrog.io/jfrog/artifactory-pro,,2025-05-06T19:46:40.037Z,2025-05-06T19:45:07.101Z,1,,0.0,,,0
redoc,,2023-08-27T10:48:02.019Z,2023-08-27T11:52:13.905Z,1,,0.0,,,0
redis,,2024-03-25T13:36:55.621Z,2024-03-25T13:35:54.677Z,1,,0.0,,,0
redhat/ubi9,,2024-04-22T09:09:57.085Z,2024-04-22T09:17:28.826Z,3,sha256__66233eebd72bb5baa25190d4f55e1dc3fff3a9b77186c1f91a0abdb274452072,0.0,2024-04-22T09:18:41.552Z,2024-04-22T09:08:41.582Z,0
redhat/ubi8,,2022-08-11T01:28:42.533Z,2025-05-07T02:41:45.805Z,8,,0.0,,,0
reactappimage,,2024-05-31T00:58:00.039Z,2025-06-04T18:52:37.363Z,79,,0.0,,,0
rancher/mirrored-pause,,2024-08-09T09:47:37.427Z,2024-08-09T09:57:13.483Z,1,,0.0,,,0
rancher/curl,,2023-10-06T20:41:00.105Z,2023-10-06T20:41:05.687Z,2,,0.0,,,0
rails-app,,2023-09-14T20:34:31.018Z,2023-09-14T20:33:22.142Z,1,,0.0,,,0
rabbitmq/latest,,2024-03-26T21:01:26.306Z,2024-03-26T21:01:26.306Z,1,,0.0,,,0
rabbit,,2024-01-05T19:11:27.073Z,2024-01-05T19:19:41.362Z,2,,0.0,,,0
pytorch/pytorch,,2024-10-23T01:21:19.034Z,2024-10-23T01:20:05.741Z,1,,0.0,,,0
pytorch,,2025-01-28T18:36:54.019Z,2025-01-28T18:44:11.203Z,1,,0.0,,,0
python-test,,2023-03-03T22:57:13.354Z,2023-03-03T22:57:13.354Z,1,,0.0,,,0
python-old-3.8,,2024-02-28T16:00:54.288Z,2024-02-28T16:00:54.288Z,1,,0.0,,,0
pythondash,,2024-03-11T18:04:51.473Z,2024-03-29T14:50:39.577Z,4,,0.0,,,0
python,,2024-08-28T08:48:01.129Z,2024-08-28T08:51:55.453Z,2,,0.0,,,0
pwebgoat,,2024-05-20T17:28:10.206Z,2024-05-27T15:05:30.593Z,2,,0.0,,,0
pubsub,,2024-02-23T18:08:50.233Z,2024-02-23T18:08:20.022Z,2,,0.0,,,0
pt-kryptostream-app,,2025-03-24T15:46:55.903Z,2025-06-03T13:20:26.216Z,21,,0.0,,,0
prom/prometheus,,2023-04-12T16:37:36.637Z,2025-04-17T09:34:42.649Z,3,,0.0,,,0
prometheus/prometheus,,2025-06-09T11:02:44.516Z,2025-06-09T11:01:02.713Z,2,,0.0,,,0
prometheus-operator/prometheus-operator,,2025-06-09T11:00:31.865Z,2025-06-09T11:00:31.865Z,2,,0.0,,,0
prometheus-operator/prometheus-config-reloader,,2025-06-09T11:01:24.981Z,2025-06-09T11:01:24.981Z,2,,0.0,,,0
prometheus/alertmanager,,2025-06-09T11:01:35.284Z,2025-06-09T11:01:35.284Z,2,,0.0,,,0
prom/blackbox-exporter,,2025-04-17T09:35:55.212Z,2025-05-22T05:56:42.53Z,3,,0.0,,,0
playwright,,2025-05-14T16:02:32.371Z,2025-05-14T16:01:33.676Z,2,sha256__a021500a801bab0611049217ffad6b9697d827205c15babb86a53bc1a61c02d5,0.0,2025-05-14T16:02:32.371Z,2025-05-14T16:01:31.977Z,0
playwright,,2025-05-14T16:02:32.371Z,2025-05-14T16:01:33.676Z,2,sha256__6102dc0e9ecaf3a80e1b7f1f76811ec4a83a56527e2c885d24e33722bb805e5b,838.4,2025-05-14T16:03:01.62Z,2025-05-14T16:01:33.676Z,0
platform-service,,2023-02-21T20:44:27.101Z,2023-02-21T20:44:27.101Z,1,,0.0,,,0
pipeline_app_demo,,2020-07-28T03:34:14.18Z,2023-09-28T18:50:10.776Z,92,,0.0,,,0
php-demo-arm,,2024-07-05T15:11:21.17Z,2024-07-05T15:09:49.207Z,1,,0.0,,,0
paketobuildpacks/builder,,2023-01-09T14:10:24.332Z,2023-01-15T13:49:31.954Z,3,,0.0,,,0
owasp-webgoat-dot-net,,2024-06-24T20:21:45.401Z,2024-06-24T20:20:22.17Z,1,,0.0,,,0
owasp/railsgoat,,2024-08-20T19:21:33.204Z,2024-08-23T18:45:15.62Z,2,,0.0,,,0
oryaacov/ubuntu-docker1,,2022-10-17T09:25:29.291Z,2022-10-17T09:25:29.291Z,1,,0.0,,,0
openjdk,,2020-07-01T08:55:44.191Z,2022-11-09T09:29:01.167Z,2,,0.0,,,0
ohadz-npm-project,,2023-07-17T09:11:33.042Z,2024-06-17T07:05:02.085Z,1,,0.0,,,0
ohadz-npm-gha,,2024-07-25T08:51:09.541Z,2024-11-19T16:03:44.283Z,61,sha256__d082419f4ebe8e8014edbf43642aaf6a82f61e2a79a7ee1dbcc39af5ce7aa6f3,0.02,2024-08-01T11:30:38.067Z,2024-08-01T11:29:19.79Z,0
ohadz-ejs-gha,,2024-11-19T16:12:01.363Z,2024-12-24T17:17:58.634Z,7,,0.0,,,0
ohadz-ado-pypi,,2024-08-25T08:31:28.407Z,2024-08-25T12:26:42.919Z,6,,0.0,,,0
ohadz-ado-npm,,2024-08-19T18:53:06.922Z,2024-12-31T14:40:40.449Z,14,,0.0,,,0
ohad-petclinic-gha,,2023-06-27T10:06:57.524Z,2024-04-01T08:52:56.922Z,1,,0.0,,,0
nuget/nuget,,2023-03-03T04:21:25.927Z,2023-03-03T04:28:24.451Z,1,,0.0,,,0
nshou/elasticsearch-kibana,,2024-09-09T18:47:22.353Z,2024-09-09T18:46:20.569Z,1,,0.0,,,0
npm-sample-docker,,2024-09-05T09:27:23.212Z,2024-12-22T15:07:11.761Z,21,,0.0,,,0
node-web-app,,2023-07-24T17:10:45.548Z,2023-07-24T18:30:12.46Z,2,,0.0,,,0
nodejs-demo,,2023-02-22T16:58:42.561Z,2024-09-22T17:56:38.318Z,15,,0.0,,,0
node-goat,,2024-10-18T02:43:40.271Z,2025-06-11T20:02:50.944Z,17,,0.0,,,0
nginxdemos/hello,,2023-01-18T20:58:14.538Z,2025-03-13T11:29:55.659Z,15,sha256__cd386999d30973c7c56fda7d56420a01a03094c42d3d6dde4e9da44f2652dac9,0.01,2023-03-07T17:01:58.43Z,2023-03-07T17:00:18.622Z,0
nginxdemos/hello,,2023-01-18T20:58:14.538Z,2025-03-13T11:29:55.659Z,15,sha256__791724257b474317454ce9131d9ebe4105b0c0f77c07a6ac0ff3dcf28b064fc6,0.01,2023-08-14T20:47:11.908Z,2023-08-14T20:45:59.388Z,0
nginxdemos/hello,,2023-01-18T20:58:14.538Z,2025-03-13T11:29:55.659Z,15,sha256__2293656951429d36b788d1285a97bd2a862428759802444450257760790423f6,0.01,2025-03-13T11:30:07.853Z,2025-03-13T11:29:00.858Z,0
nginxdemos/hello,,2023-01-18T20:58:14.538Z,2025-03-13T11:29:55.659Z,15,sha256__4449005ad10b8e1fbd06078206da9f1f367932a0f443e7376187d7365fa8b2ef,16.8,2024-03-13T17:58:08.939Z,2024-03-13T17:56:57.638Z,0
nginxdemos/hello,,2023-01-18T20:58:14.538Z,2025-03-13T11:29:55.659Z,15,sha256__035746db7e154f50c77c09e684e1e79aa9c663f004c98a0eb3805b0a53638ac3,15.32,2023-03-07T17:00:59.812Z,2023-03-07T17:00:20.157Z,0
nginxdemos/hello,,2023-01-18T20:58:14.538Z,2025-03-13T11:29:55.659Z,15,sha256__409564c3a1d194fcfd85cad7a231b61670ab6c40d04d80e86649d1fe7740436e,0.0,2023-01-18T20:59:28.537Z,2023-01-18T20:57:56.216Z,0
nginx,,2022-10-25T00:15:59.888Z,2024-09-26T12:31:08.513Z,3,,0.0,,,0
ngcontainer_angular,,2022-11-14T13:21:10.149Z,2022-11-14T13:19:47.671Z,1,,0.0,,,0
newrelic/k8s-nri-f5,,2024-04-18T18:15:55.771Z,2024-04-18T18:15:55.771Z,1,,0.0,,,0
newrelic/infrastructure,,2024-12-19T20:09:07.452Z,2024-12-19T20:07:50.598Z,2,sha256__a133213ac1e3c19e45bbf710098d0d130e9a3d0b500059c2e3c1d8c0c2db6966,0.0,2024-12-19T20:09:07.452Z,2024-12-19T20:07:49.622Z,0
nanoserver/iis,,2024-09-17T20:11:27.527Z,2024-09-17T20:10:12.589Z,1,,0.0,,,0
my-pet-clinic,,2022-06-14T15:35:26.834Z,2022-06-15T13:22:57.98Z,1,,0.0,,,0
my-petclinic,,2022-04-10T11:10:00.092Z,2023-01-18T08:34:00.41Z,3,,0.0,,,0
